matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
0,1.2114365736144181,0.05353843851125928,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
10,1,1.804264e-10,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
20,1,5.051515e-15,20,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
27,3.3945116757092255e-15,4.440892098500626e-16,27,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
0,0.16278077276837735,0.0008992452208694905,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.5,0.5,0.5,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
14,2.1245138437362227e-15,4.0657581468206416e-17,14,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.5,0.5,0.5,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
0,1.2114365736144181,0.05353843851125928,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
10,1,1.804264e-10,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
20,1,5.093148e-15,20,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
27,3.5222263325140834e-15,4.926614671774132e-16,27,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.5,0.5,0.5,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
