matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
0,0.9629646602073295,,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
1,0.07775846575793958,,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
2,0.006876586370367853,,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
3,0.0005480254513268492,,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
4,4.4126592226136435e-05,,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
5,3.2035181955102547e-06,,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
6,2.569291260492751e-07,,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
7,1.9125933230167397e-08,,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
8,1.5627492078785047e-09,,8,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
9,1.2280675542275697e-10,,9,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_amg,6005
