matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
0,19.811851572513937,,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
1,0.23931161454878894,,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
2,0.02271494542435576,,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
3,0.0014655406817727405,,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
4,9.796473280678875e-05,,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
5,7.322097116573947e-06,,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
6,4.521232687365093e-07,,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
7,3.751580849175324e-08,,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
8,2.5758012902181634e-09,,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
9,1.641541370626137e-10,,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
10,1.0765387879578273e-11,,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
11,8.88861485422407e-13,,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
12,6.864856200839033e-14,,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_amg,4913
0,39.427442522134676,,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
1,0.14648443257410468,,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
2,0.013957371857697791,,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
3,0.0011600438522169332,,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
4,8.576214125775346e-05,,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
5,5.830584632229666e-06,,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
6,5.153690980493437e-07,,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
7,4.7047803405869904e-08,,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
8,3.475055774885207e-09,,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
9,2.4769058140426503e-10,,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
10,2.2366971809682527e-11,,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
11,2.000615709404824e-12,,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
12,1.4220388657724482e-13,,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_amg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_amg,35937
0,0.10321131856462208,1.5231318224556736,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
1,0.00821309032006258,0.100808806595425,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
2,0.00018565327102528992,0.0023799591463088536,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
3,9.110741566483813e-06,0.00011543683005629271,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
4,3.0030765001047263e-07,4.030511075219318e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
5,3.142016364739084e-08,2.564511963722467e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
6,1.960998460147649e-09,2.983706802935053e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
7,1.1276616660798704e-10,1.8323469234331491e-09,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
8,1.1604047734186675e-11,1.8600250968299732e-10,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
9,1.4151980819047896e-12,1.5867613113285336e-11,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
10,8.391451882027554e-14,1.1698680361481742e-12,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
11,8.926493868046147e-15,8.66068308488465e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
12,2.494492669126543e-16,4.338898219409051e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_gmg,4913
0,0.09498803956859465,1.9001227816033013,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
1,0.002081254953040651,0.06777403345373115,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
2,9.243099837050422e-05,0.0033724835139847674,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
3,2.3542362750652425e-06,6.881831476901836e-05,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
4,8.956725941555085e-08,2.806935598648641e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
5,3.979721244939999e-09,1.335278139269898e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
6,3.2670588286865187e-10,1.0370479753783555e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
7,2.7329117113844162e-11,9.013735173842984e-10,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
8,2.7934321099168532e-12,6.364446088457384e-11,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
9,2.363147080938368e-13,6.026496635211806e-12,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
10,1.9753758788059987e-14,4.440169154968377e-13,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
11,1.5993668663308245e-15,4.072222891496009e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
12,9.041630505031599e-17,3.0158704402519043e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_gmg,35937
0,0.0603244884132974,2.269918558414837,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
1,0.002391994357805974,0.0755784722758216,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
2,9.030184623044508e-05,0.0038213921582580575,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
3,2.9052558503301663e-06,0.0001771786446633763,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
4,1.5942972632716262e-07,7.3776989385567224e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
5,7.687236356302322e-09,2.722080075934077e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
6,2.8689938658728346e-10,1.2121754313656532e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
7,3.331857286804434e-11,7.536892059469523e-10,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
