matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
0,0.006117679834396797,0.3547326972066964,0,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
1,0.0012361058483999262,0.06807512384718281,1,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
2,0.0002560253803937366,0.012735387740483583,2,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
3,5.7486377466906275e-05,0.002608606764743533,3,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
4,1.156607317873559e-05,0.00044332181719991255,4,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
5,2.549391699299317e-06,0.00010905747449535486,5,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
6,4.3903185744717304e-07,2.5896515186249405e-05,6,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
7,8.823975714255649e-08,5.031778805854961e-06,7,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
8,1.8328713284105663e-08,9.104605984023691e-07,8,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
9,3.855181517318934e-09,2.3092381183851274e-07,9,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
