matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
0,0.21055707936240334,,0,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
1,1.6564562758093884,,1,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
2,0.21380327034149035,,2,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
3,0.05551846331231058,,3,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
4,0.015535571316230774,,4,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
5,0.0041276047854894166,,5,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
6,0.0012387006776285363,,6,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
7,0.00035255109872709794,,7,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
8,9.856829706970435e-05,,8,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
9,3.079928696595284e-05,,9,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
10,8.05062339502909e-06,,10,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
11,2.2358219126712263e-06,,11,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
12,6.295124503658526e-07,,12,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
13,1.7204692511550607e-07,,13,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
14,4.993559553579999e-08,,14,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
15,1.4838759696874549e-08,,15,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
16,5.2284953392125636e-09,,16,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
17,1.761650302251903e-09,,17,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
18,4.4201498211254377e-10,,18,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
19,1.250925777479996e-10,,19,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
20,3.7700501557678036e-11,,20,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
